epoch,accuracy,loss
0,0.9704861044883728,0.02817399799823761
1,0.9965277910232544,0.006334451027214527
2,0.9980158805847168,0.004211190156638622
3,0.998759925365448,0.002872706623747945
4,0.9995039701461792,0.0016625507269054651
5,0.9992559552192688,0.0011249034432694316
6,1.0,0.0007522314554080367
7,0.9997519850730896,0.001111582387238741
8,1.0,0.00047229728079400957
9,1.0,0.00018283446843270212
10,1.0,0.0002306514943484217
11,1.0,4.8836227506399155e-05
12,1.0,6.289713201113045e-05
13,1.0,4.689375055022538e-05
14,1.0,3.9984315662877634e-05
15,1.0,1.9145165424561128e-05
16,1.0,1.0559536349319387e-05
17,1.0,7.172282494138926e-06
18,1.0,5.093177605886012e-05
19,1.0,2.8594868126674555e-06
20,1.0,1.66670048429296e-07
21,1.0,3.4359445066911576e-08
22,1.0,5.327959797796211e-07
23,1.0,6.223599058330365e-08
24,1.0,7.363354370681918e-08
25,1.0,6.747042675669945e-07
26,1.0,4.393899288857028e-08
27,1.0,3.2655680826110256e-08
28,1.0,0.0
29,1.0,0.0
30,1.0,0.0
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
