epoch,accuracy,loss
0,0.9888392686843872,0.014738488011062145
1,0.9992559552192688,0.001954932464286685
2,1.0,0.00045207940274849534
3,1.0,0.0007827036897651851
4,1.0,0.00038485252298414707
5,1.0,7.644877041457221e-05
6,1.0,0.0003103770432062447
7,1.0,4.853455175179988e-05
8,1.0,2.4360037059523165e-05
9,1.0,7.897887371655088e-06
10,1.0,2.090583166136639e-06
11,1.0,8.997119039122481e-06
12,1.0,6.978296823945129e-06
13,1.0,1.71163264894858e-05
14,1.0,2.040673280134797e-06
15,1.0,2.4272330279018206e-07
16,1.0,0.0
17,1.0,0.0
18,1.0,0.0
19,1.0,0.0
20,1.0,0.0
21,1.0,0.0
22,1.0,0.0
23,1.0,0.0
24,1.0,0.0
25,1.0,0.0
26,1.0,0.0
27,1.0,0.0
28,1.0,0.0
29,1.0,0.0
30,1.0,0.0
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
